id,source_file,suite_path,hardhat_test,scenario,expected_behavior,fixture_dependencies,foundry_destination,translation_shape,status,evidence
HH-7CF59507B3C4,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > #setRateManager > when rate manager address is zero,reverts with ZeroAddress,EscrowV2 -- Branch Coverage #setRateManager when rate manager address is zero reverts with ZeroAddress,revert/error,beforeEach:EscrowV2 -- Branch Coverage; beforeEach:EscrowV2 -- Branch Coverage > #setRateManager; beforeEach:EscrowV2 -- Branch Coverage > #setRateManager > when rate manager address is zero; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-164325944E16,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > #setRateManager > when rate manager is an EOA (code.length == 0),reverts with InvalidRateManager,EscrowV2 -- Branch Coverage #setRateManager when rate manager is an EOA (code.length == 0) reverts with InvalidRateManager,revert/error,beforeEach:EscrowV2 -- Branch Coverage; beforeEach:EscrowV2 -- Branch Coverage > #setRateManager; beforeEach:EscrowV2 -- Branch Coverage > #setRateManager > when rate manager is an EOA (code.length == 0); @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-3C8D891B471A,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > #setRateManager > when rate manager id is bytes32(0),reverts with ZeroValue,EscrowV2 -- Branch Coverage #setRateManager when rate manager id is bytes32(0) reverts with ZeroValue,revert/error,beforeEach:EscrowV2 -- Branch Coverage; beforeEach:EscrowV2 -- Branch Coverage > #setRateManager; beforeEach:EscrowV2 -- Branch Coverage > #setRateManager > when rate manager id is bytes32(0); @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-7175ACD2F3E2,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > #setRateManager > when isRateManager returns false,reverts with RateManagerNotFound,EscrowV2 -- Branch Coverage #setRateManager when isRateManager returns false reverts with RateManagerNotFound,revert/error,beforeEach:EscrowV2 -- Branch Coverage; beforeEach:EscrowV2 -- Branch Coverage > #setRateManager; beforeEach:EscrowV2 -- Branch Coverage > #setRateManager > when isRateManager returns false; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-E5613BF7C35A,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > #clearRateManager > when deposit does not exist,reverts with DepositNotFound,EscrowV2 -- Branch Coverage #clearRateManager when deposit does not exist reverts with DepositNotFound,revert/error,beforeEach:EscrowV2 -- Branch Coverage; beforeEach:EscrowV2 -- Branch Coverage > #clearRateManager; beforeEach:EscrowV2 -- Branch Coverage > #clearRateManager > when deposit does not exist; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-699E1B037A22,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > #clearRateManager > when rate manager is not set,reverts with RateManagerNotSet,EscrowV2 -- Branch Coverage #clearRateManager when rate manager is not set reverts with RateManagerNotSet,revert/error,beforeEach:EscrowV2 -- Branch Coverage; beforeEach:EscrowV2 -- Branch Coverage > #clearRateManager; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-5BA0A836EFAB,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > #setDelegate > when delegate is address(0),reverts with ZeroAddress,EscrowV2 -- Branch Coverage #setDelegate when delegate is address(0) reverts with ZeroAddress,revert/error,beforeEach:EscrowV2 -- Branch Coverage; beforeEach:EscrowV2 -- Branch Coverage > #setDelegate > when delegate is address(0); @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-F8EF795A8FE7,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > #setDelegate > when delegate is the depositor (self-delegation),reverts with CannotDelegateToSelf,EscrowV2 -- Branch Coverage #setDelegate when delegate is the depositor (self-delegation) reverts with CannotDelegateToSelf,revert/error,beforeEach:EscrowV2 -- Branch Coverage; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-5120F6155815,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > governance setters error branches > #setOrchestratorRegistry > when address is zero,reverts with ZeroAddress,EscrowV2 -- Branch Coverage governance setters error branches #setOrchestratorRegistry when address is zero reverts with ZeroAddress,revert/error,beforeEach:EscrowV2 -- Branch Coverage; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-2DFDE27A489A,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > governance setters error branches > #setOrchestratorRegistry > when caller is not owner,reverts,EscrowV2 -- Branch Coverage governance setters error branches #setOrchestratorRegistry when caller is not owner reverts,revert/error,beforeEach:EscrowV2 -- Branch Coverage; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-9A32AEF79C46,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > governance setters error branches > #setPaymentVerifierRegistry > when address is zero,reverts with ZeroAddress,EscrowV2 -- Branch Coverage governance setters error branches #setPaymentVerifierRegistry when address is zero reverts with ZeroAddress,revert/error,beforeEach:EscrowV2 -- Branch Coverage; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
HH-95D6E9AE6012,test/escrowV2/escrowV2.branchCoverage.spec.ts,EscrowV2 -- Branch Coverage > governance setters error branches > #setPaymentVerifierRegistry > when caller is not owner,reverts,EscrowV2 -- Branch Coverage governance setters error branches #setPaymentVerifierRegistry when caller is not owner reverts,revert/error,beforeEach:EscrowV2 -- Branch Coverage; @utils/deploys[DeployHelper]; @utils/common[ether|usdc]; @utils/constants[ADDRESS_ZERO|EMPTY_ORACLE_RATE_CONFIG|ONE|ZERO]; @utils/protocolUtils[Currency]; @utils/test[getAccounts|getWaffleExpect]; @utils/contracts[EscrowV2|OrchestratorMock|OrchestratorRegistry|PaymentVerifierMock|PaymentVerifierRegistry|RateManagerMock|RevertingOracleAdapterMock|StaticOracleAdapterMock|USDCMock],,one-to-one,pending-translation,baseline-passed
