id,source_file,suite_path,hardhat_test,scenario,expected_behavior,fixture_dependencies,foundry_destination,translation_shape,status,evidence
HH-108A33C911EC,test/deploy/00_system.spec.ts,V2.1 System Deployment > EscrowRegistry,should have the correct owner,V2.1 System Deployment EscrowRegistry should have the correct owner,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-C7FF75286361,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct owner,V2.1 System Deployment Escrow should have the correct owner,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-487A4A8E0BA9,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the payment verifier registry set,V2.1 System Deployment Escrow should have the payment verifier registry set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-7EF658C396A0,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct orchestrator set,V2.1 System Deployment Escrow should have the correct orchestrator set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-5753AD059CDA,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct chain id set,V2.1 System Deployment Escrow should have the correct chain id set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-C5670E0920BD,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the escrow whitelisted,V2.1 System Deployment Escrow should have the escrow whitelisted,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-3BD9278B3CAA,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct dust recipient set,V2.1 System Deployment Escrow should have the correct dust recipient set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-A379CD7E3942,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct dust threshold set,V2.1 System Deployment Escrow should have the correct dust threshold set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-397F008DD05B,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct max intents per deposit set,V2.1 System Deployment Escrow should have the correct max intents per deposit set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-A04AE4A16D17,test/deploy/00_system.spec.ts,V2.1 System Deployment > Escrow,should have the correct intent expiration period set,V2.1 System Deployment Escrow should have the correct intent expiration period set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-1D0727B723CC,test/deploy/00_system.spec.ts,V2.1 System Deployment > Orchestrator,should have the correct owner set,V2.1 System Deployment Orchestrator should have the correct owner set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-F720C950A28F,test/deploy/00_system.spec.ts,V2.1 System Deployment > Orchestrator,should have the correct chainId set,V2.1 System Deployment Orchestrator should have the correct chainId set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-12371F574EB2,test/deploy/00_system.spec.ts,V2.1 System Deployment > Orchestrator,should have the correct protocol fee and recipient set,V2.1 System Deployment Orchestrator should have the correct protocol fee and recipient set,balance/accounting,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-2D9945B8D9BB,test/deploy/00_system.spec.ts,V2.1 System Deployment > Orchestrator,should have the correct post intent hook registry set,V2.1 System Deployment Orchestrator should have the correct post intent hook registry set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-61D84ED9EE06,test/deploy/00_system.spec.ts,V2.1 System Deployment > Orchestrator,should have the correct relayer registry set,V2.1 System Deployment Orchestrator should have the correct relayer registry set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-8EEBD2E3C1B2,test/deploy/00_system.spec.ts,V2.1 System Deployment > Orchestrator,should have the correct escrow registry set,V2.1 System Deployment Orchestrator should have the correct escrow registry set,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-24912A2FBA75,test/deploy/00_system.spec.ts,V2.1 System Deployment > NullifierRegistry,should have the correct owner,V2.1 System Deployment NullifierRegistry should have the correct owner,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-34FEE04298CB,test/deploy/00_system.spec.ts,V2.1 System Deployment > PaymentVerifierRegistry,should have the correct owner,V2.1 System Deployment PaymentVerifierRegistry should have the correct owner,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-BDA2E5F08738,test/deploy/00_system.spec.ts,V2.1 System Deployment > PostIntentHookRegistry,should have the correct owner,V2.1 System Deployment PostIntentHookRegistry should have the correct owner,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-57A06C4E5C6E,test/deploy/00_system.spec.ts,V2.1 System Deployment > RelayerRegistry,should have the correct owner,V2.1 System Deployment RelayerRegistry should have the correct owner,success,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-80E5B77A2357,test/deploy/00_system.spec.ts,V2.1 System Deployment > ProtocolViewer,should have the correct escrow and orchestrator set,V2.1 System Deployment ProtocolViewer should have the correct escrow and orchestrator set,return value,beforeAll:V2.1 System Deployment; ../../utils/contracts[Escrow|NullifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-1116E506A3EE,test/deploy/01_unifiedVerifier.spec.ts,UnifiedPaymentVerifier Deployment > SimpleAttestationVerifier Constructor,should have the correct owner set,UnifiedPaymentVerifier Deployment SimpleAttestationVerifier Constructor should have the correct owner set,success,beforeAll:UnifiedPaymentVerifier Deployment; ../../utils/contracts[UnifiedPaymentVerifier|SimpleAttestationVerifier|NullifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-1C60FDFC9B06,test/deploy/01_unifiedVerifier.spec.ts,UnifiedPaymentVerifier Deployment > UnifiedPaymentVerifier Constructor,should have the correct owner set,UnifiedPaymentVerifier Deployment UnifiedPaymentVerifier Constructor should have the correct owner set,success,beforeAll:UnifiedPaymentVerifier Deployment; ../../utils/contracts[UnifiedPaymentVerifier|SimpleAttestationVerifier|NullifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-5B21D2359341,test/deploy/01_unifiedVerifier.spec.ts,UnifiedPaymentVerifier Deployment > UnifiedPaymentVerifier Constructor,should have the correct nullifier registry set,UnifiedPaymentVerifier Deployment UnifiedPaymentVerifier Constructor should have the correct nullifier registry set,success,beforeAll:UnifiedPaymentVerifier Deployment; ../../utils/contracts[UnifiedPaymentVerifier|SimpleAttestationVerifier|NullifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-6D0E79B7169E,test/deploy/01_unifiedVerifier.spec.ts,UnifiedPaymentVerifier Deployment > UnifiedPaymentVerifier Constructor,should have the correct attestation verifier set,UnifiedPaymentVerifier Deployment UnifiedPaymentVerifier Constructor should have the correct attestation verifier set,success,beforeAll:UnifiedPaymentVerifier Deployment; ../../utils/contracts[UnifiedPaymentVerifier|SimpleAttestationVerifier|NullifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-20ABDBD3E9D7,test/deploy/01_unifiedVerifier.spec.ts,UnifiedPaymentVerifier Deployment > Write Permissions,should revoke the retired verifier's legacy NullifierRegistry permission after the V3 cutover,UnifiedPaymentVerifier Deployment Write Permissions should revoke the retired verifier's legacy NullifierRegistry permission after the V3 cutover,success,beforeAll:UnifiedPaymentVerifier Deployment; ../../utils/contracts[UnifiedPaymentVerifier|SimpleAttestationVerifier|NullifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-1B10D39E6DE6,test/deploy/02_venmoPaymentMethod.spec.ts,Venmo Payment Method Configuration > Payment Method Registry,should add Venmo payment method to the registry,Venmo Payment Method Configuration Payment Method Registry should add Venmo payment method to the registry,state transition,beforeAll:Venmo Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-BAD3DAFECE42,test/deploy/02_venmoPaymentMethod.spec.ts,Venmo Payment Method Configuration > Payment Method Registry,should add Venmo currencies to the registry,Venmo Payment Method Configuration Payment Method Registry should add Venmo currencies to the registry,state transition,beforeAll:Venmo Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-397C31EC33B7,test/deploy/02_venmoPaymentMethod.spec.ts,Venmo Payment Method Configuration > Unified Verifier Configuration,should add Venmo payment method to unified verifier,Venmo Payment Method Configuration Unified Verifier Configuration should add Venmo payment method to unified verifier,state transition,beforeAll:Venmo Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-09D35972F94C,test/deploy/03_revolutPaymentMethod.spec.ts,Revolut Payment Method Configuration > Payment Method Registry,should add Revolut payment method to the registry,Revolut Payment Method Configuration Payment Method Registry should add Revolut payment method to the registry,state transition,beforeAll:Revolut Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-667E017107C8,test/deploy/03_revolutPaymentMethod.spec.ts,Revolut Payment Method Configuration > Payment Method Registry,should add Revolut currencies to the registry,Revolut Payment Method Configuration Payment Method Registry should add Revolut currencies to the registry,state transition,beforeAll:Revolut Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-D8057A14D460,test/deploy/03_revolutPaymentMethod.spec.ts,Revolut Payment Method Configuration > Unified Verifier Configuration,should add Revolut payment method to unified verifier,Revolut Payment Method Configuration Unified Verifier Configuration should add Revolut payment method to unified verifier,state transition,beforeAll:Revolut Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-ADF59A97DFE5,test/deploy/04_cashappPaymentMethod.spec.ts,CashApp Payment Method Configuration > Payment Method Registry,should add CashApp payment method to the registry,CashApp Payment Method Configuration Payment Method Registry should add CashApp payment method to the registry,state transition,beforeAll:CashApp Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-4FCB76802B2A,test/deploy/04_cashappPaymentMethod.spec.ts,CashApp Payment Method Configuration > Payment Method Registry,should add CashApp currencies to the registry,CashApp Payment Method Configuration Payment Method Registry should add CashApp currencies to the registry,state transition,beforeAll:CashApp Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-2A6E2C5D6252,test/deploy/04_cashappPaymentMethod.spec.ts,CashApp Payment Method Configuration > Unified Verifier Configuration,should add CashApp payment method to unified verifier,CashApp Payment Method Configuration Unified Verifier Configuration should add CashApp payment method to unified verifier,state transition,beforeAll:CashApp Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-535BD2110596,test/deploy/05_wisePaymentMethod.spec.ts,Wise Payment Method Configuration > Payment Method Registry,should add Wise payment method to the registry,Wise Payment Method Configuration Payment Method Registry should add Wise payment method to the registry,state transition,beforeAll:Wise Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-E3827136590A,test/deploy/05_wisePaymentMethod.spec.ts,Wise Payment Method Configuration > Payment Method Registry,should add Wise currencies to the registry,Wise Payment Method Configuration Payment Method Registry should add Wise currencies to the registry,state transition,beforeAll:Wise Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-85BFF37CE2CB,test/deploy/05_wisePaymentMethod.spec.ts,Wise Payment Method Configuration > Unified Verifier Configuration,should add Wise payment method to unified verifier,Wise Payment Method Configuration Unified Verifier Configuration should add Wise payment method to unified verifier,state transition,beforeAll:Wise Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-FEA2FD73731F,test/deploy/06_mercadopagoPaymentMethod.spec.ts,MercadoPago Payment Method Configuration > Payment Method Registry,should add MercadoPago payment method to the registry,MercadoPago Payment Method Configuration Payment Method Registry should add MercadoPago payment method to the registry,state transition,beforeAll:MercadoPago Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-7F49FC0D0152,test/deploy/06_mercadopagoPaymentMethod.spec.ts,MercadoPago Payment Method Configuration > Payment Method Registry,should add MercadoPago currencies to the registry,MercadoPago Payment Method Configuration Payment Method Registry should add MercadoPago currencies to the registry,state transition,beforeAll:MercadoPago Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-7553135C4F36,test/deploy/06_mercadopagoPaymentMethod.spec.ts,MercadoPago Payment Method Configuration > Unified Verifier Configuration,should add MercadoPago payment method to unified verifier,MercadoPago Payment Method Configuration Unified Verifier Configuration should add MercadoPago payment method to unified verifier,state transition,beforeAll:MercadoPago Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-2771AFF0CF81,test/deploy/07_zellePaymentMethods.spec.ts,Zelle Payment Method Configuration,uses the generic Zelle payment method hash,Zelle Payment Method Configuration uses the generic Zelle payment method hash,asserted behavior,beforeAll:Zelle Payment Method Configuration; ../../utils/contracts[PaymentVerifierRegistry|UnifiedPaymentVerifier]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account],,one-to-one,pending-translation,baseline-passed
HH-0774916860BA,test/deploy/07_zellePaymentMethods.spec.ts,Zelle Payment Method Configuration,registers generic Zelle with its currencies,Zelle Payment Method Configuration registers generic Zelle with its currencies,asserted behavior,beforeAll:Zelle Payment Method Configuration; ../../utils/contracts[PaymentVerifierRegistry|UnifiedPaymentVerifier]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account],,one-to-one,pending-translation,baseline-passed
HH-D6395754B846,test/deploy/07_zellePaymentMethods.spec.ts,Zelle Payment Method Configuration,registers generic Zelle in the unified verifier,Zelle Payment Method Configuration registers generic Zelle in the unified verifier,asserted behavior,beforeAll:Zelle Payment Method Configuration; ../../utils/contracts[PaymentVerifierRegistry|UnifiedPaymentVerifier]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account],,one-to-one,pending-translation,baseline-passed
HH-D2D35354030C,test/deploy/08_paypalPaymentMethod.spec.ts,PayPal Payment Method Configuration > Payment Method Registry,should add PayPal payment method to the registry,PayPal Payment Method Configuration Payment Method Registry should add PayPal payment method to the registry,state transition,beforeAll:PayPal Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-73D6C47F5F10,test/deploy/08_paypalPaymentMethod.spec.ts,PayPal Payment Method Configuration > Payment Method Registry,should add PayPal currencies to the registry,PayPal Payment Method Configuration Payment Method Registry should add PayPal currencies to the registry,state transition,beforeAll:PayPal Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-93DA0D9592F7,test/deploy/08_paypalPaymentMethod.spec.ts,PayPal Payment Method Configuration > Payment Method Registry,should support all expected PayPal currencies,PayPal Payment Method Configuration Payment Method Registry should support all expected PayPal currencies,asserted behavior,beforeAll:PayPal Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-65EDC14EAAF9,test/deploy/08_paypalPaymentMethod.spec.ts,PayPal Payment Method Configuration > Unified Verifier Configuration,should add PayPal payment method to unified verifier,PayPal Payment Method Configuration Unified Verifier Configuration should add PayPal payment method to unified verifier,state transition,beforeAll:PayPal Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-2D757EA7BF95,test/deploy/09_monzoPaymentMethod.spec.ts,Monzo Payment Method Configuration > Payment Method Registry,should add Monzo payment method to the registry,Monzo Payment Method Configuration Payment Method Registry should add Monzo payment method to the registry,state transition,beforeAll:Monzo Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-1DD5FB93E2B6,test/deploy/09_monzoPaymentMethod.spec.ts,Monzo Payment Method Configuration > Payment Method Registry,should add Monzo currencies to the registry,Monzo Payment Method Configuration Payment Method Registry should add Monzo currencies to the registry,state transition,beforeAll:Monzo Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-1AED9E6E6925,test/deploy/09_monzoPaymentMethod.spec.ts,Monzo Payment Method Configuration > Payment Method Registry,should only support GBP currency for Monzo,Monzo Payment Method Configuration Payment Method Registry should only support GBP currency for Monzo,asserted behavior,beforeAll:Monzo Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-CDCF65FE9D42,test/deploy/09_monzoPaymentMethod.spec.ts,Monzo Payment Method Configuration > Unified Verifier Configuration,should add Monzo payment method to unified verifier,Monzo Payment Method Configuration Unified Verifier Configuration should add Monzo payment method to unified verifier,state transition,beforeAll:Monzo Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-11D071EF6F0C,test/deploy/10_acrossBridgeHook.spec.ts,Across Bridge Hook Deployment,should deploy AcrossBridgeHook with correct params,Across Bridge Hook Deployment should deploy AcrossBridgeHook with correct params,success,beforeAll:Across Bridge Hook Deployment; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-60D634DB9CAF,test/deploy/10_acrossBridgeHook.spec.ts,Across Bridge Hook Deployment,should transfer ownership to multisig,Across Bridge Hook Deployment should transfer ownership to multisig,balance/accounting,beforeAll:Across Bridge Hook Deployment; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-D5A28D91293D,test/deploy/10_acrossBridgeHook.spec.ts,Across Bridge Hook Deployment,should whitelist the hook in the post intent hook registry,Across Bridge Hook Deployment should whitelist the hook in the post intent hook registry,success,beforeAll:Across Bridge Hook Deployment; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-7A9A3C2B93EF,test/deploy/10_n26PaymentMethod.spec.ts,N26 Payment Method Configuration > Payment Method Registry,should remove N26 payment method from the registry,N26 Payment Method Configuration Payment Method Registry should remove N26 payment method from the registry,state transition,beforeAll:N26 Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account],,one-to-one,pending-translation,baseline-passed
HH-897A3466B7DD,test/deploy/10_n26PaymentMethod.spec.ts,N26 Payment Method Configuration > Payment Method Registry,should remove N26 currencies from the registry,N26 Payment Method Configuration Payment Method Registry should remove N26 currencies from the registry,state transition,beforeAll:N26 Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account],,one-to-one,pending-translation,baseline-passed
HH-38AD37F0C287,test/deploy/10_n26PaymentMethod.spec.ts,N26 Payment Method Configuration > Unified Verifier Configuration,should remove N26 payment method from unified verifier,N26 Payment Method Configuration Unified Verifier Configuration should remove N26 payment method from unified verifier,state transition,beforeAll:N26 Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account],,one-to-one,pending-translation,baseline-passed
HH-7E68C78D999F,test/deploy/11_alipayPaymentMethod.spec.ts,Alipay Payment Method Configuration > Payment Method Registry,should add Alipay payment method to the registry,Alipay Payment Method Configuration Payment Method Registry should add Alipay payment method to the registry,state transition,beforeAll:Alipay Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-21F78513E7CB,test/deploy/11_alipayPaymentMethod.spec.ts,Alipay Payment Method Configuration > Payment Method Registry,should add Alipay currencies to the registry,Alipay Payment Method Configuration Payment Method Registry should add Alipay currencies to the registry,state transition,beforeAll:Alipay Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
HH-19D7DAF766A4,test/deploy/11_alipayPaymentMethod.spec.ts,Alipay Payment Method Configuration > Payment Method Registry,should only support CNY currency for Alipay,Alipay Payment Method Configuration Payment Method Registry should only support CNY currency for Alipay,asserted behavior,beforeAll:Alipay Payment Method Configuration; ../../utils/contracts[UnifiedPaymentVerifier|PaymentVerifierRegistry|Escrow]; ../../utils/test[getAccounts|getWaffleExpect]; ../../utils/test/types[Account]; ../../utils/types[Address],,one-to-one,pending-translation,baseline-passed
